any,territori,codi_municipi,nom,illa,nivell,us,num_bens,valor_total_milers_eur,valor_mitja_eur
2025,07012 Campanet,07012,Campanet,MALLORCA,Municipi,TOTAL USOS,2226.0,136610.88,61370.57
2025,07012 Campanet,07012,Campanet,MALLORCA,Municipi,Almacén y estacionamiento,162.0,2208.04,13629.88
2025,07012 Campanet,07012,Campanet,MALLORCA,Municipi,Comercial,20.0,2352.11,117605.5
2025,07012 Campanet,07012,Campanet,MALLORCA,Municipi,Cultural,1.0,,
2025,07012 Campanet,07012,Campanet,MALLORCA,Municipi,Ocio y hostelería,2.0,,
2025,07012 Campanet,07012,Campanet,MALLORCA,Municipi,Industrial,91.0,3460.86,38031.43
2025,07012 Campanet,07012,Campanet,MALLORCA,Municipi,Deportivo,13.0,643.94,49533.85
2025,07012 Campanet,07012,Campanet,MALLORCA,Municipi,Suelo vacante,169.0,4321.05,25568.34
2025,07012 Campanet,07012,Campanet,MALLORCA,Municipi,Oficinas,2.0,,
2025,07012 Campanet,07012,Campanet,MALLORCA,Municipi,Edificio singular,1.0,,
2025,07012 Campanet,07012,Campanet,MALLORCA,Municipi,Religioso,1.0,,
2025,07012 Campanet,07012,Campanet,MALLORCA,Municipi,Espectáculos,0.0,,
2025,07012 Campanet,07012,Campanet,MALLORCA,Municipi,Residencial,1764.0,120144.85,68109.33
2025,07012 Campanet,07012,Campanet,MALLORCA,Municipi,Sanidad y beneficencia,0.0,,
2025,07012 Campanet,07012,Campanet,MALLORCA,Municipi,Otros usos,,,
2025,07013 Campos,07013,Campos,MALLORCA,Municipi,TOTAL USOS,10919.0,723216.57,66234.69
2025,07013 Campos,07013,Campos,MALLORCA,Municipi,Almacén y estacionamiento,2163.0,23649.86,10933.82
2025,07013 Campos,07013,Campos,MALLORCA,Municipi,Comercial,218.0,26884.18,123321.93
2025,07013 Campos,07013,Campos,MALLORCA,Municipi,Cultural,5.0,5879.75,1175950.0
2025,07013 Campos,07013,Campos,MALLORCA,Municipi,Ocio y hostelería,12.0,2899.15,241595.83
2025,07013 Campos,07013,Campos,MALLORCA,Municipi,Industrial,512.0,36747.71,71772.87
2025,07013 Campos,07013,Campos,MALLORCA,Municipi,Deportivo,29.0,3550.47,122430.0
2025,07013 Campos,07013,Campos,MALLORCA,Municipi,Suelo vacante,1152.0,59510.13,51658.1
2025,07013 Campos,07013,Campos,MALLORCA,Municipi,Oficinas,24.0,1278.95,53289.58
2025,07013 Campos,07013,Campos,MALLORCA,Municipi,Edificio singular,2.0,,
2025,07013 Campos,07013,Campos,MALLORCA,Municipi,Religioso,6.0,2871.31,478551.67
2025,07013 Campos,07013,Campos,MALLORCA,Municipi,Espectáculos,1.0,,
2025,07013 Campos,07013,Campos,MALLORCA,Municipi,Residencial,6787.0,554397.98,81685.28
2025,07013 Campos,07013,Campos,MALLORCA,Municipi,Sanidad y beneficencia,7.0,4347.53,621075.71
2025,07013 Campos,07013,Campos,MALLORCA,Municipi,Otros usos,,,
2025,07014 Capdepera,07014,Capdepera,MALLORCA,Municipi,TOTAL USOS,13023.0,1650318.58,126723.38
2025,07014 Capdepera,07014,Capdepera,MALLORCA,Municipi,Almacén y estacionamiento,2428.0,23841.45,9819.38
2025,07014 Capdepera,07014,Capdepera,MALLORCA,Municipi,Comercial,582.0,84523.39,145229.19
2025,07014 Capdepera,07014,Capdepera,MALLORCA,Municipi,Cultural,6.0,7711.46,1285243.33
2025,07014 Capdepera,07014,Capdepera,MALLORCA,Municipi,Ocio y hostelería,287.0,492540.12,1716167.67
2025,07014 Capdepera,07014,Capdepera,MALLORCA,Municipi,Industrial,259.0,22448.4,86673.36
2025,07014 Capdepera,07014,Capdepera,MALLORCA,Municipi,Deportivo,218.0,14312.27,65652.61
2025,07014 Capdepera,07014,Capdepera,MALLORCA,Municipi,Suelo vacante,1335.0,161250.08,120786.58
2025,07014 Capdepera,07014,Capdepera,MALLORCA,Municipi,Oficinas,45.0,6028.95,133976.67
2025,07014 Capdepera,07014,Capdepera,MALLORCA,Municipi,Edificio singular,3.0,,
2025,07014 Capdepera,07014,Capdepera,MALLORCA,Municipi,Religioso,6.0,1731.9,288650.0
2025,07014 Capdepera,07014,Capdepera,MALLORCA,Municipi,Espectáculos,3.0,,
2025,07014 Capdepera,07014,Capdepera,MALLORCA,Municipi,Residencial,7841.0,821601.2,104782.71
2025,07014 Capdepera,07014,Capdepera,MALLORCA,Municipi,Sanidad y beneficencia,10.0,11308.01,1130801.0
2025,07014 Capdepera,07014,Capdepera,MALLORCA,Municipi,Otros usos,,,
2025,07016 Consell,07016,Consell,MALLORCA,Municipi,TOTAL USOS,3206.0,144058.05,44933.89
2025,07016 Consell,07016,Consell,MALLORCA,Municipi,Almacén y estacionamiento,785.0,5698.87,7259.71
2025,07016 Consell,07016,Consell,MALLORCA,Municipi,Comercial,52.0,2952.44,56777.69
2025,07016 Consell,07016,Consell,MALLORCA,Municipi,Cultural,3.0,,
2025,07016 Consell,07016,Consell,MALLORCA,Municipi,Ocio y hostelería,3.0,,
2025,07016 Consell,07016,Consell,MALLORCA,Municipi,Industrial,65.0,13011.33,200174.31
2025,07016 Consell,07016,Consell,MALLORCA,Municipi,Deportivo,12.0,1336.81,111400.83
2025,07016 Consell,07016,Consell,MALLORCA,Municipi,Suelo vacante,191.0,3817.7,19987.96
2025,07016 Consell,07016,Consell,MALLORCA,Municipi,Oficinas,3.0,,
2025,07016 Consell,07016,Consell,MALLORCA,Municipi,Edificio singular,1.0,,
2025,07016 Consell,07016,Consell,MALLORCA,Municipi,Religioso,0.0,,
2025,07016 Consell,07016,Consell,MALLORCA,Municipi,Espectáculos,0.0,,
2025,07016 Consell,07016,Consell,MALLORCA,Municipi,Residencial,2078.0,113073.99,54414.82
2025,07016 Consell,07016,Consell,MALLORCA,Municipi,Sanidad y beneficencia,13.0,720.45,55419.23
2025,07016 Consell,07016,Consell,MALLORCA,Municipi,Otros usos,,,
2025,07017 Costitx,07017,Costitx,MALLORCA,Municipi,TOTAL USOS,529.0,43320.03,81890.42
2025,07017 Costitx,07017,Costitx,MALLORCA,Municipi,Almacén y estacionamiento,44.0,897.71,20402.5
2025,07017 Costitx,07017,Costitx,MALLORCA,Municipi,Comercial,7.0,338.97,48424.29
2025,07017 Costitx,07017,Costitx,MALLORCA,Municipi,Cultural,3.0,,
2025,07017 Costitx,07017,Costitx,MALLORCA,Municipi,Ocio y hostelería,1.0,,
2025,07017 Costitx,07017,Costitx,MALLORCA,Municipi,Industrial,27.0,1113.5,41240.74
2025,07017 Costitx,07017,Costitx,MALLORCA,Municipi,Deportivo,1.0,,
2025,07017 Costitx,07017,Costitx,MALLORCA,Municipi,Suelo vacante,45.0,1960.92,43576.0
2025,07017 Costitx,07017,Costitx,MALLORCA,Municipi,Oficinas,1.0,,
2025,07017 Costitx,07017,Costitx,MALLORCA,Municipi,Edificio singular,2.0,,
2025,07017 Costitx,07017,Costitx,MALLORCA,Municipi,Religioso,1.0,,
2025,07017 Costitx,07017,Costitx,MALLORCA,Municipi,Espectáculos,0.0,,
2025,07017 Costitx,07017,Costitx,MALLORCA,Municipi,Residencial,394.0,35326.89,89662.16
2025,07017 Costitx,07017,Costitx,MALLORCA,Municipi,Sanidad y beneficencia,3.0,,
2025,07017 Costitx,07017,Costitx,MALLORCA,Municipi,Otros usos,,,
2025,07018 Deià,07018,Deià,MALLORCA,Municipi,TOTAL USOS,1011.0,209076.7,206801.88
2025,07018 Deià,07018,Deià,MALLORCA,Municipi,Almacén y estacionamiento,24.0,1667.61,69483.75
2025,07018 Deià,07018,Deià,MALLORCA,Municipi,Comercial,15.0,1566.85,104456.67
2025,07018 Deià,07018,Deià,MALLORCA,Municipi,Cultural,2.0,,
2025,07018 Deià,07018,Deià,MALLORCA,Municipi,Ocio y hostelería,13.0,24905.76,1915827.69
2025,07018 Deià,07018,Deià,MALLORCA,Municipi,Industrial,26.0,3465.18,133276.15
2025,07018 Deià,07018,Deià,MALLORCA,Municipi,Deportivo,7.0,1211.99,173141.43
2025,07018 Deià,07018,Deià,MALLORCA,Municipi,Suelo vacante,148.0,15898.76,107424.05
2025,07018 Deià,07018,Deià,MALLORCA,Municipi,Oficinas,1.0,,
2025,07018 Deià,07018,Deià,MALLORCA,Municipi,Edificio singular,0.0,,
2025,07018 Deià,07018,Deià,MALLORCA,Municipi,Religioso,0.0,,
2025,07018 Deià,07018,Deià,MALLORCA,Municipi,Espectáculos,0.0,,
2025,07018 Deià,07018,Deià,MALLORCA,Municipi,Residencial,774.0,159400.87,205944.28
2025,07018 Deià,07018,Deià,MALLORCA,Municipi,Sanidad y beneficencia,1.0,,
2025,07018 Deià,07018,Deià,MALLORCA,Municipi,Otros usos,,,
